show_id,director
s350,Gary Ross
s351,Clint Eastwood
s352,Trey Parker
s353,Kelly Fremon Craig
s354,Tom Elkins
s355,Tony Scott
s356,Brad Furman
s357,Sylvain White
s358,Brad Anderson
s359,Irwin Winkler
s360,Spike Lee
s361,Garry Marshall
s362,Unknown
s363,Kenneth Gyang
s364,Jaume Balagueró
s365,Unknown
s366,Najwa Najjar
s367,Unknown
s368,Selçuk Metin
s369,Unknown
s370,Unknown
s371,Unknown
s372,Najwa Najjar
s373,Keishi Otomo
s374,David Charhon
s375,Michelle Bello
s376,Steven Tsuchida
s377,Unknown
s378,Daniel Markowicz
s379,Louie Schwartzberg
s380,Unknown
s381,Glen Winter
s382,Unknown
s383,Unknown
s384,Ram Gopal Varma
s385,David Benullo
s386,Unknown
s387,Unknown
s388,Laxman Utekar
s389,Royale Watkins
s389,Rich Schlansker
s390,Yuval Adler
s391,Unknown
s392,Unknown
s393,Quentin Tarantino
s394,Clay Glen
s395,Muzi Mthembu
s396,Marcos Bucay
s397,Peter Thorwarth
s398,Unknown
s399,Kim Seong-hun
s400,Unknown
s401,Unknown
s402,Unknown
s403,Augustine Frizzell
s404,Unknown
s405,Unknown
s406,Sidheswar Shukla
s407,Rajiv Chilaka
s408,Rajiv Chilaka
s409,Rajiv Chilaka
s410,Rajiv Chilaka
s411,Rajiv Chilaka
s412,Rajiv Chilaka
s413,Rajiv Chilaka
s414,Rajiv Chilaka
s415,Rajiv Chilaka
s416,Rajiv Chilaka
s417,Rajiv Chilaka
s418,Binayak Das
s419,Arpan Sarkar
s419,Shyamal Chaulia
s420,Rajiv Chilaka
s421,Rajiv Chilaka
s422,Rajiv Chilaka
s422,Owll Mina
s423,Rajiv Chilaka
s424,Rajiv Chilaka
s425,Rajiv Chilaka
s426,Unknown
s427,Ainsley Gardiner
s427,Briar Grace-Smith
s428,Mahmoud Karim
s429,Kyohei Ishiguro
s430,Seyi Babatope
s431,Unknown
s432,Unknown
s433,Johane Matte
s433,Andrew L. Schmidt
s433,Francisco Ruiz Velasco
s434,Morgan Ingari
s435,Unknown
s436,Unknown
s437,Abdulaziz Alshlahei
s438,Edward Drake
s439,Kathryn Fasegha
s440,Sita Likitvanichkul
s440,Jetarin Ratanaserikiat
s440,Apirak Samudkitpaisan
s440,Thanabodee Uawithya
s440,Adirek Wattaleela
s441,Unknown
s442,Leigh Janiak
s443,Unknown
s444,Luis Estrada
s445,Garrett Bradley
s446,Sofia Coppola
s447,Colin Trevorrow
s448,Bill Condon
s449,Bill Condon
s450,David Slade
s451,Chris Weitz
s452,Catherine Hardwicke
s453,Hadrah Daeng Ratu
s454,Unknown
s455,Tommy Chong
s456,Fred Ouro Preto
s457,Unknown
s458,Mayye Zayed
s459,Alessandra de Rossi
s460,Unknown
s461,Ash Brannon
s461,Chris Buck
s462,Alaa Eddine Aljem
s463,Tom Donahue
s464,Roberto De Feo
s464,Paolo Strippoli
s465,Navot Papushado
s466,Unknown
s467,Unknown
s468,Manuel Alcalá
s469,Ricardo Trogi
s470,Semi Chellas
s471,Unknown
s472,Akay Mason
s472,Abosi Ogba
s473,Unknown
s474,Viridiana Lieberman
s475,Nima Nourizadeh
s476,Daniel Růžička
s477,Juraj Šajmovič
s478,Unknown
s479,Unknown
s480,Leigh Janiak
s481,Femi D. Ogunsanwo
s482,Douglas Attal
s483,Unknown
s484,Unknown
s485,Kim Joo-hyung
s486,Avi Federgreen
s487,Jericca Cleland
s487,Kevin Munroe
s488,Unknown
s489,Unknown
s490,Ahmed Siddiqui
s491,Unknown
s492,Hallie Meyers-Shyer
s493,Scott Speer
s494,Unknown
s495,Barry Levinson
s496,Tolulope Itegboje
s497,Camille Delamarre
s498,Unknown
s499,Pascal Atuma
s500,Unknown
s501,Oleg Trofim
s502,Seyi Babatope
s503,Mahmood Ali-Balogun
s504,Jan Holoubek
s505,Unknown
s506,Anurin Nwunembom
s506,Musing Derrick
s507,Christine Luby
s508,Udoka Oyeka
s509,Yeo Siew Hua
s510,Unknown
s511,Unknown
s512,Unknown
s513,Unknown
s514,Unknown
s515,Unknown
s516,Unknown
s517,Unknown
s518,Unknown
s519,Hardik Mehta
s520,Unknown
s521,Unknown
s522,Unknown
s523,Unknown
s524,Unknown
s525,Unknown
s526,Unknown
s527,Unknown
s528,Unknown
s529,Rajveer Singh Maan
s529,Harpeet Singh
s530,Youssef Chahine
s531,Unknown
s532,Saw Teong Hin
s532,Nik Amir Mustapha
s532,M.S. Prem Nath
s533,Unknown
s534,Unknown
s535,Rano Karno
s536,Unknown
s537,Unknown
s538,Unknown
s539,Unknown
s540,Unknown
s541,Unknown
s542,Pramod Pawar
s543,Naresh Saigal
s544,Unknown
s545,Unknown
s546,Unknown
s547,Unknown
s548,Unknown
s549,Unknown
s550,Unknown
s551,Leigh Janiak
s552,Vinil Mathew
s553,Neri Parenti
s554,Unknown
s555,Ramsey Nouah
s556,Bong Joon Ho
s557,Kim Tae-hyung
s558,Michael Spierig
s558,Peter Spierig
s559,Ernie Barbarash
s560,Wolfgang Petersen
s561,Matt Ogens
s562,Jay Roach
s563,Jay Roach
s564,Jay Roach
s565,Paul Thomas Anderson
s566,Unknown
s567,McG
s568,Frank Marshall
s569,Nick Castle
s570,Victor Vu
s571,Chow Hin Yeung Roy
s572,Unknown
s573,Joel Hopkins
s574,John Stevenson
s574,Mark Osborne
s575,Jennifer Yuh Nelson
s576,Greg Berlanti
s577,Garth Davis
s578,Malik Nejer
s579,Rob Marshall
s580,Martin Brest
s581,Shuko Murase
s582,Paul W.S. Anderson
s583,Garry Marshall
s584,Ivan Reitman
s585,Joel Gallen
s586,Claire McCarthy
s587,Mary Lambert
s588,Sidharta Tata
s588,Aco Tenriyagelli
s588,Dian Sastrowardoyo
s588,Ifa Isfansyah
s588,Jason Iskandar
s589,Unknown
s590,Trevor Nunn
s591,Unknown
s592,Gabriele Muccino
s593,Jim Field Smith
s594,Chris Koch
s595,J.J. Abrams
s596,Rob Minkoff
s597,Lynn Shelton
s598,Adam McKay
s599,Anton Corbijn
s600,Robin Bissell
s601,David Fincher
s602,John G. Avildsen
s603,John G. Avildsen
s604,John G. Avildsen
s605,Alan Parker
s606,Walter Hill
s607,Stephen Frears
s608,Bryan Bertino
s609,Phil Alden Robinson
s610,Florian Henckel von Donnersmarck
s611,Len Wiseman
s612,Måns Mårlind
s612,Björn Stein
s613,Patrick Tatopoulos
s614,Robert O. Peters
s615,Vincent Ward
s616,Gregory Nava
s617,Mary Harron
s618,Unknown
s619,Matt Thompson
s620,Jameel Buari
s621,Unknown
s622,Shen Leping
s623,Matt Aselton
s624,Jose Javier Reyes
s625,Jakub Piątek
s626,Unknown
s627,John Dower
s628,Unknown
s629,Unknown
s630,B. T Thomas
s631,Andrew Dominik
s632,Unknown
s633,Nibal Arakji
s634,Sofie Šustková
s635,Anissa Bonnefont
s636,Bahij Hojeij
s637,Jonathan Hensleigh
s638,Srijit Mukherji
s638,Vasan Bala
s638,Abhishek Chaubey
s639,Unknown
s640,Unknown
s641,Unknown
s642,Unknown
s643,Unknown
s644,Justin P. Lange
s645,Kimmy Gatewood
s646,Tània Balló
s647,Manolo Caro
s648,Unknown
s649,Unknown
s650,Anurin Nwunembom
s651,Jayme Monjardim
s652,Kingsley Ogoro
s653,Kingsley Ogoro
s654,Unknown
s655,Cristina Jacob
s656,Cristina Jacob
s657,Cristina Jacob
s658,Unknown
s659,Unknown
s660,Unknown
s661,Unknown
s662,Unknown
s663,Unknown
s664,Unknown
s665,Fernando Moro
s666,Unknown
s667,Ivan Andrew Payawal
s668,Unknown
s669,Unknown
s670,Unknown
s671,Yoshiyuki Tomino
s671,Yoshikazu Yasuhiko
s672,Yoshiyuki Tomino
s672,Yoshikazu Yasuhiko
s673,Yoshiyuki Tomino
s674,Unknown
s675,Unknown
s676,Unknown
s677,Rob Seidenglanz
s678,Unknown
s679,Unknown
s680,Unknown
s681,Unknown
s682,Simon Frederick
s683,Unknown
s684,Michihito Fujii
s685,Unknown
s686,Paul Weitz
s687,Unknown
s688,Karthik Subbaraj
s689,Kayode Kasum
s690,Yoshiyuki Tomino
s690,Yoshikazu Yasuhiko
s691,Keishi Otomo
s692,Unknown
s693,Hsu Fu-chun
s694,Lucky Kuswandi
s695,Soudade Kaadan
s696,Soudade Kaadan
s697,Unknown
s698,Unknown
s699,Antoinette Jadaone
s700,Unknown
s701,Unknown
s702,Marie Clements
s703,David O. Russell
s704,Unknown
s705,Achille Brice
s706,Max Jabs
s707,Unknown
s708,Sarawut Wichiensarn
s709,Ricardo de Montreuil
s710,Unknown
s711,Unknown
s712,Peter Chelsom
s713,Michael Lockshin
s714,Unknown
s715,Unknown
s716,Unknown
s717,Francine Parker
s718,Unknown
